section_name,question_number,question_text,plain_text,option_a,option_b,option_c,option_d,correct_option,marks,diagram_url
ENGINEERING MATHEMATICS,1,"$\text{Choose the correct answer from the following: Every identity matrix is a scalar matrix}$","Choose the correct answer Every identity matrix is a scalar matrix","Every identity matrix is a scalar matrix","Every scalar matrix is an identity matrix","Every diagonal matrix is an identity matrix","A square matrix whose each element is one is an identity matrix","A",1,
ENGINEERING MATHEMATICS,2,"$\text{The value of } \begin{vmatrix} -1 & 2 & 3 \\ 2 & 1 & -6 \\ 3 & 1 & -9 \end{vmatrix} \text{ is}$","Find the value of the determinant","45","-45","0","90","C",1,
ENGINEERING MATHEMATICS,3,"$\text{The characteristic equation of } A=\begin{bmatrix}1 & -2 \\ 3 & 4\end{bmatrix} \text{ is}$","Find the characteristic equation of matrix A","$\lambda^2-3\lambda-2=0$","$\lambda^2-5\lambda+10=0$","$\lambda^2-5\lambda-2=0$","$\lambda^2+3\lambda+10=0$","B",1,
ENGINEERING MATHEMATICS,4,"$\text{If } |A|=\begin{bmatrix}-3 & 0 \\ 0 & 3\end{bmatrix}, \text{ then } A\cdot adj(A) \text{ is equal to}$","Find A multiplied by adjoint of A","$\begin{bmatrix}9 & 0 \\ 0 & 9\end{bmatrix}$","$\begin{bmatrix}3 & 0 \\ 0 & 3\end{bmatrix}$","Zero matrix","$|A|I$","D",1,
ENGINEERING MATHEMATICS,5,"$\text{The slope of the straight line joining the two points }(3,-4)\text{ and }(-1,5)\text{ is}$","Find the slope of the straight line","$\frac{4}{9}$","$-\frac{4}{9}$","$-\frac{1}{4}$","$-\frac{9}{4}$","D",1,
ENGINEERING MATHEMATICS,6,"$\text{The angle of inclination of the straight line is } \frac{\pi}{4} \text{ and y-intercept is } 3,\text{ then equation of the straight line is}$","Find equation of straight line","$y=x+3$","$y=x-3$","$y=-x-3$","$y=-x+3$","A",1,
ENGINEERING MATHEMATICS,7,"$\text{The equation of straight line passing through }(-5,4)\text{ and parallel to X-axis is}$","Equation of line parallel to X-axis","$x-y+9=0$","$x+5=0$","$x+y+1=0$","$y-4=0$","D",1,
ENGINEERING MATHEMATICS,8,"$\text{What is the equation of the straight line passing through the points }(1,5)\text{ and }(3,2)\text{?}$","Equation of line through two points","$7x-4y+13=0$","$3x+2y-17=0$","$3x+2y-13=0$","$3x+2y+13=0$","C",1,
ENGINEERING MATHEMATICS,9,"$\text{The ramp in front of a gate is elevated by an angle of } \frac{\pi}{3} \text{ radians, then the angle in degrees is}$","Convert radians to degrees","15°","75°","60°","30°","C",1,
ENGINEERING MATHEMATICS,10,"$\text{If } \sin(90^\circ-\theta)+\cos\theta=\sqrt{2}\cos(90^\circ-\theta),\text{ then the value of } \cosec\theta \text{ is}$","Find cosec theta","$\sqrt{2}$","2","3","1","B",1,
ENGINEERING MATHEMATICS,11,"$\text{If A, B, C are the angles of a triangle, then the incorrect relation is}$","Incorrect trigonometric relation","$\sin\frac{A+B}{2}=\cos\frac{C}{2}$","$\cos\frac{A+B}{2}=\sin\frac{C}{2}$","$\tan\frac{A+B}{2}=\sin\frac{C}{2}$","$\cot\frac{A+B}{2}=\tan\frac{C}{2}$","C",1,
ENGINEERING MATHEMATICS,12,"$\text{The value of } \sin40^\circ+\sin20^\circ \text{ is}$","Find value of sin40 plus sin20","$\sqrt{3}\cos10^\circ$","$\sqrt{3}\cos20^\circ$","$\cos10^\circ$","$\sqrt{2}\cos10^\circ$","C",1,
ENGINEERING MATHEMATICS,13,"$\text{The derivative of } y=\frac{1}{1-x} \text{ is}$","Find derivative","$\frac{1}{(1-x)^2}$","$-2x$","$\frac{1}{1-x}$","$\frac{-2x}{1-x}$","A",1,
