section_name,question_number,question_text,plain_text,option_a,option_b,option_c,option_d,correct_option,marks,diagram_url
ENGINEERING MATHEMATICS,1,Choose the correct answer from the following: a) Every identity matrix is a scalar matrix b) Every scalar matrix is an identity matrix ¢) Every diagonal matrix is an identity matrix d) A square matrix whose each element is one is an identity matrix.,Choose the correct answer from the following: a) Every identity matrix is a scalar matrix b) Every scalar matrix is an identity matrix ¢) Every diagonal matrix is an identity matrix d) A square matrix whose each element is one is an identity matrix.,,,,,A,1,
ENGINEERING MATHEMATICS,2,The value of |-1 2 3| is 2 1 -6,The value of |-1 2 3| is 2 1 -6,45,%0,0,45,C,1,
ENGINEERING MATHEMATICS,3,The characteristic equation of 4 = [3,The characteristic equation of 4 = [3,¥-31-2=0,- 5L+10=0 ) M-50-2=0,,,B,1,
ENGINEERING MATHEMATICS,4,"If|A|I= [ 0 SJ ,then A.adj A is equal to __ 300 [9 0] [1 0] [3 0] Do 3] D0 9/ 1|Do 3","If|A|I= [ 0 SJ ,then A.adj A is equal to __ 300 [9 0] [1 0] [3 0] Do 3] D0 9/ 1|Do 3",,,,,D,1,
ENGINEERING MATHEMATICS,5,"The slope of the straight line joining two points (3,—4)and (-1, 5) is","The slope of the straight line joining two points (3,—4)and (-1, 5) is",4/9,—4/9,—1/4,—9/4,D,1,
ENGINEERING MATHEMATICS,6,"The angle of inclination of the straight line is n/4 and y-intercept is 3, then equation of the straight line is","The angle of inclination of the straight line is n/4 and y-intercept is 3, then equation of the straight line is",y=x+3,,,yy=—=x+3,A,1,
ENGINEERING MATHEMATICS,7,"The equation of straight line passing through (=5, 4) and parallel to X-axis is a)x-y+9=0 byx+5=0 gxt+ty+t1=0","The equation of straight line passing through (=5, 4) and parallel to X-axis is a)x-y+9=0 byx+5=0 gxt+ty+t1=0",,,,y-4=0,D,1,
ENGINEERING MATHEMATICS,9,"The ramp in front of a gate is elevated by an angle of /3 radians, then the angle in degrees is","The ramp in front of a gate is elevated by an angle of /3 radians, then the angle in degrees is",15,75°,60°,30°,C,1,
ENGINEERING MATHEMATICS,10,,,>,,,,B,1,
ENGINEERING MATHEMATICS,12,The value of sin40° + sin20° is a) V3 cos 10° b) V3 cos20° ¢c) cos 10° d) V2 cos 10°,The value of sin40° + sin20° is a) V3 cos 10° b) V3 cos20° ¢c) cos 10° d) V2 cos 10°,,,,,C,1,
ENGINEERING MATHEMATICS,13,The derivative of y = is 1-x 5 2 D (1-x)° 1-x)° ) 2 ; ) —2x2 1-x (1-x),The derivative of y = is 1-x 5 2 D (1-x)° 1-x)° ) 2 ; ) —2x2 1-x (1-x),,,,,A,1,
ENGINEERING MATHEMATICS,14,"Ify = log(\/tan x), then the value of Ey T . atx= —is","Ify = log(\/tan x), then the value of Ey T . atx= —is",©,1,0,172,B,1,
ENGINEERING MATHEMATICS,15,"If y = 2 + 3 logx)"", then —— atx=1is dx","If y = 2 + 3 logx)"", then —— atx=1is dx",15(29),(15 x 2)!° ) 15(2),,,A,1,
